GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_AvgAge,P1_AvgSize,P1_Avg_f0,P1_Best_f0,P1_Worst_f0,P1_SA_onePointImpreciseCrossover,P1_MAB_onePointImpreciseCrossover,P1_SA_twoPointImpreciseCrossover,P1_MAB_twoPointImpreciseCrossover,P1_SA_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_SA_removalMutation,P1_MAB_removalMutation,P1_SA_insertionMutation,P1_MAB_insertionMutation,P1_SA_groupRandomInsertionMutation,P1_MAB_groupRandomInsertionMutation,P1_SA_groupRandomRemovalMutation,P1_MAB_groupRandomRemovalMutation,P1_SA_groupExternalInsertionMutation,P1_MAB_groupExternalInsertionMutation,P1_GrAvgAge,P1_GrAvgSize,P1_GrAvg_f0,P1_GrBest_f0,P1_GrWorst_f0
1,0.474245,1,0,60,40,1,0.9,1.81633,8,53920.4,73517,33018,1,0.2,1,0.5,1,1,0.9,0,0.9,0,1,1,1,1,0.9,0,1.26667,6.73333,0.708876,0.751753,0.668889
2,0.500562,2,0,60,40,1,0.9,2.4359,8,54451.5,73517,33018,1,0.2,1,0.5,1,1,0.9,0,0.9,0,1,0.611111,0.9,0.333333,0.9,0,1.46667,7.2,0.735218,0.751753,0.722469
3,0.947296,3,0,60,40,1,0.9,2.76744,8,54597.7,73517,33018,1,0.2,1,0.4,1,0.981481,0.9,0,0.9,0,1,0.611111,0.9,0.333333,0.9,0,1.4,6.93333,0.748482,0.75836,0.741388
4,1.13557,4,0,60,40,1,0.9,3.16327,8,52306.1,73517,21319,1,0.285714,1,0.4,1,0.934783,0.9,0,0.9,0,1,0.611111,0.9,0.333333,0.9,0,1.26667,7.2,0.757407,0.764484,0.75263
5,1.04566,5,0,60,40,1,0.9,3.30435,8,51980.3,73517,21319,0.9,0.222222,1,0.363636,1,0.952,0.9,0,0.9,0,0.9,0.545455,0.9,0.333333,0.9,0,1.26667,7.13333,0.764662,0.770235,0.759592
6,1.34324,6,0,60,40,1,0.9,3.91111,8,51942,73517,21319,0.9,0.222222,1,0.416667,1,0.962733,0.81,0,0.81,0,0.9,0.545455,0.9,0.333333,0.81,0,1.73333,7.13333,0.766708,0.770235,0.763952
7,1.10207,7,0,60,40,1,0.9,4.07317,8,50602,73517,21319,0.9,0.222222,1,0.433333,1,0.969697,0.81,0,0.81,0,0.9,0.545455,0.9,0.333333,0.81,0,1.6,7.6,0.769437,0.774842,0.767313
8,1.10932,8,0,60,40,1,0.9,4.82927,8,49498.8,73517,21319,0.81,0.2,0.9,0.40625,1,0.974249,0.729,0,0.729,0,0.9,0.545455,0.9,0.333333,0.729,0,2,7.6,0.771774,0.782967,0.768398
9,1.01737,9,0,60,40,1,0.9,4.45,8,48849.9,73517,21319,0.81,0.2,0.9,0.40625,1,0.97786,0.729,0,0.729,0,0.81,0.5,0.9,0.333333,0.729,0,1.46667,7.8,0.77474,0.782967,0.771287
10,1.27221,10,0,60,40,1,0.9,3.96154,8,49596.5,73225,26270,0.81,0.2,0.9,0.382353,1,0.980645,0.729,0,0.729,0,0.81,0.5,0.9,0.333333,0.729,0,1.93333,8,0.776634,0.782967,0.774021
11,1.21505,11,0,60,40,1,0.91,4.35714,8,47218.5,73140,25282,0.81,0.181818,0.9,0.382353,1,0.979769,0.6561,0,0.6561,0,0.81,0.5,0.9,0.333333,0.6561,0,2.33333,8,0.778067,0.782967,0.774792
12,1.2929,12,0,60,40,1,0.919,4.85185,8,46646.1,73140,24111,0.81,0.181818,0.9,0.382353,1,0.974093,0.6561,0,0.6561,0,0.81,0.5,0.9,0.333333,0.6561,0,2.26667,8,0.778923,0.782967,0.776173
13,1.11881,13,0,60,40,1,0.9271,5.60714,8,45916.4,73140,24111,0.81,0.181818,0.9,0.361111,1,0.974057,0.6561,0,0.6561,0,0.729,0.48,0.9,0.333333,0.6561,0,2.86667,8,0.779653,0.782977,0.777083
14,1.14868,14,0,60,40,1,0.93439,6.51852,8,47429.1,73140,24111,0.81,0.166667,0.9,0.361111,1,0.976242,0.6561,0,0.6561,0,0.729,0.48,0.9,0.333333,0.6561,0,3.53333,8,0.780024,0.782977,0.777713
15,1.31641,15,0,60,40,1,0.940951,6.96154,8,46464.8,73140,24111,0.81,0.166667,0.9,0.361111,1,0.978131,0.6561,0,0.6561,0,0.729,0.48,0.9,0.333333,0.6561,0,3.6,8,0.780471,0.782977,0.778645
16,1.15067,16,0,60,40,1,0.946856,7.69231,8,45184.2,73140,24111,0.81,0.166667,0.9,0.361111,1,0.977737,0.59049,0,0.59049,0,0.6561,0.461538,0.9,0.333333,0.59049,0,4.13333,8,0.781105,0.783939,0.779166
17,1.27164,17,0,60,40,1,0.95217,8.18519,8,44779.9,73140,24111,0.81,0.166667,0.91,0.368421,1,0.979239,0.59049,0,0.59049,0,0.6561,0.461538,0.9,0.333333,0.59049,0,4.73333,8,0.781513,0.783939,0.779544
18,1.13481,18,0,60,40,1,0.956953,8.62069,8,44714.9,73140,24111,0.81,0.166667,0.91,0.368421,1,0.980583,0.59049,0,0.59049,0,0.6561,0.461538,0.9,0.333333,0.59049,0,5,8,0.781827,0.783939,0.780098
19,1.12945,19,0,60,40,1,0.961258,9.1,8,45471.7,73140,25733,0.81,0.166667,0.919,0.375,1,0.981735,0.59049,0,0.59049,0,0.6561,0.461538,0.9,0.333333,0.59049,0,5.53333,8,0.782144,0.784845,0.7801
20,1.07804,20,0,60,40,1,0.965132,9.80645,8,45459.4,73140,25733,0.729,0.153846,0.919,0.375,1,0.982759,0.59049,0,0.59049,0,0.6561,0.461538,0.9,0.333333,0.59049,0,6.13333,8,0.782217,0.784845,0.78013
21,1.18512,21,0,60,40,1,0.968619,10.8065,8,45459.4,73140,25733,0.729,0.153846,0.919,0.357143,1,0.982265,0.59049,0,0.59049,0,0.59049,0.444444,0.81,0.315789,0.59049,0,7.13333,8,0.782217,0.784845,0.78013
22,1.05534,22,0,60,40,1,0.971757,11.8065,8,45459.4,73140,25733,0.729,0.153846,0.919,0.357143,1,0.983117,0.531441,0,0.531441,0,0.59049,0.444444,0.81,0.315789,0.531441,0,8.13333,8,0.782217,0.784845,0.78013
23,1.37908,23,0,60,40,1,0.974581,11,8,42743.6,73140,19614,0.729,0.153846,0.919,0.357143,1,0.981481,0.531441,0,0.531441,0,0.59049,0.444444,0.81,0.315789,0.531441,0,6.93333,8,0.783017,0.786166,0.781202
