GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_AvgAge,P1_AvgSize,P1_Avg_f0,P1_Best_f0,P1_Worst_f0,P1_SA_onePointImpreciseCrossover,P1_MAB_onePointImpreciseCrossover,P1_SA_twoPointImpreciseCrossover,P1_MAB_twoPointImpreciseCrossover,P1_SA_singleParameterAlterationMutation,P1_MAB_singleParameterAlterationMutation,P1_SA_removalMutation,P1_MAB_removalMutation,P1_SA_insertionMutation,P1_MAB_insertionMutation,P1_SA_groupRandomInsertionMutation,P1_MAB_groupRandomInsertionMutation,P1_SA_groupRandomRemovalMutation,P1_MAB_groupRandomRemovalMutation,P1_SA_groupExternalInsertionMutation,P1_MAB_groupExternalInsertionMutation,P1_GrAvgAge,P1_GrAvgSize,P1_GrAvg_f0,P1_GrBest_f0,P1_GrWorst_f0
1,0.650077,1,0,60,40,1,0.9,1.81633,8,53920.4,73517,33018,1,0.2,1,0,1,0,0.9,0,0.9,0,1,0.6,1,0.4,0.9,0,1.26667,6.73333,0.708876,0.751753,0.668889
2,0.262103,2,0,60,40,1,0.9,2.75,8,52629.5,73517,33018,1,0,1,0,1,0,0.9,0,0.9,0,1,0,1,0,0.9,0,1.46667,7.33333,0.735364,0.751753,0.721999
3,0.428642,3,0,60,40,1,0.9,3.33333,8,54641.2,73517,38437,1,0.2,0.9,0,1,0.8,0.81,0,0.81,0,0.9,0,0.9,0,0.81,0,2,7.06667,0.741213,0.759897,0.728776
4,1.17734,4,0,60,40,1,0.9,3.14286,8,54602.1,73517,30201,1,0,0.9,0,1,0,0.81,0,0.81,0,0.9,0,0.9,0,0.81,0,1.66667,7,0.753267,0.765433,0.747284
5,0.465365,5,0,60,40,1,0.91,3.62857,8,52874.9,73517,30201,1,0,0.91,0,1,0,0.729,0,0.729,0,0.81,0,0.91,0,0.729,0,1.86667,7.06667,0.760036,0.791217,0.750862
6,0.514513,6,0,60,40,1,0.91,4.59375,8,52281.2,73517,30201,0.9,0,0.919,0.4,1,0.6,0.6561,0,0.6561,0,0.729,0,0.819,0,0.6561,0,2.2,7.06667,0.763086,0.791217,0.753209
7,0.963725,7,0,60,40,1,0.91,4.25926,8,53179.4,73517,23371,0.9,0,0.9271,0,1,0,0.6561,0,0.6561,0,0.729,0,0.819,0,0.6561,0,1.86667,6.33333,0.773711,0.803756,0.763128
8,0.531578,8,0,60,40,1,0.819,4.83333,8,50568.8,73517,23061,0.91,0,0.9271,0,1,0,0.59049,0,0.59049,0,0.6561,0,0.7371,0,0.59049,0,1.93333,6.2,0.775686,0.803756,0.765643
9,0.434114,9,0,60,40,1,0.7371,6.27778,8,52476.5,73517,23371,0.91,0,0.9271,0,1,0.2,0.531441,0,0.531441,0,0.59049,0,0.76339,0.2,0.531441,0,2.13333,5.73333,0.783272,0.803756,0.770522
10,0.535703,10,0,60,40,1,0.7371,5.4375,8,48780.6,67188,23371,0.91,0,0.9271,0,1,0,0.531441,0,0.531441,0,0.59049,0,0.787051,0,0.531441,0,2.2,5.13333,0.789089,0.803756,0.78065
