GEN,CPU,P1_Generation,P1_E,P1_Mu,P1_Lambda,P1_Tau,P1_Sigma,P1_AvgAge,P1_AvgSize,P1_Avg_f0,P1_Best_f0,P1_Worst_f0,P1_onePointImpreciseCrossover,P1_twoPointImpreciseCrossover,P1_singleParameterAlterationMutation
1,5.28034,1,0,40,25,1,0.9,1.61905,106,9.7619,15,4,0.333333,0.333333,0.333333
2,10.2858,2,0,40,25,1,0.91,2.17308,106,10.0769,17,4,0.294118,0.352941,0.352941
3,14.9085,3,0,40,25,1,0.91,2.82353,106,10.1765,16,4,0.255682,0.340909,0.403409
4,13.5091,4,0,40,25,1,0.91,3.17021,106,10.5106,16,4,0.241287,0.321716,0.436997
5,14.8866,5,0,40,25,1,0.91,3.68889,106,10.4667,15,4,0.228426,0.304569,0.467005
6,15.1488,6,0,40,25,1,0.91,3.92683,106,9.82927,14,4,0.216867,0.289157,0.493976
7,12.5615,7,0,40,25,1,0.919,4.17021,106,10.0851,16,4,0.206422,0.275229,0.518349
8,14.4973,8,0,40,25,1,0.919,4.65306,106,10.102,16,4,0.196937,0.262582,0.540481
9,17.2953,9,0,40,25,1,0.919,5.42553,106,9.89362,16,4,0.177243,0.236324,0.586433
10,19.5812,10,0,40,25,1,0.919,5.65957,106,9.68085,16,4,0.170204,0.226938,0.602858
11,20.7536,11,0,40,25,1,0.919,5.75,106,9.96154,16,4,0.163703,0.21827,0.618027
12,22.916,12,0,40,25,1,0.919,6.13725,106,10.1176,16,4,0.161066,0.193279,0.645655
13,23.6539,13,0,40,25,1,0.919,6.66667,106,10.451,16,4,0.22269,0.158137,0.619172
14,31.6254,14,0,40,25,1,0.8271,7.21154,106,10.7692,16,4,0.278753,0.146732,0.574515
15,20.4868,15,0,40,25,1,0.8271,7.30909,106,10.8545,16,4,0.314781,0.131637,0.553582
16,21.6671,16,0,40,25,1,0.8271,8.04,106,10.84,16,4,0.344337,0.118254,0.537409
17,20.631,17,0,40,25,1,0.74439,8.32692,106,10.9808,16,4,0.329112,0.113026,0.557862
18,19.1965,18,0,40,25,1,0.74439,8.19298,106,11.2105,16,4,0.318626,0.0984822,0.582892
19,21.4557,19,0,40,25,1,0.74439,8.2,106,11.2,16,4,0.305868,0.0945389,0.599593
20,24.4122,20,0,40,25,1,0.74439,8.29231,106,11.2615,16,4,0.294092,0.0908992,0.615009
21,28.0245,21,0,40,25,1,0.669951,9.47458,106,11.2712,16,4,0.28319,0.0875294,0.629281
22,24.3002,22,0,40,25,1,0.602956,10.3636,106,10.8727,16,4,0.273067,0.0844006,0.642533
23,24.981,23,0,40,25,1,0.54266,9.84127,106,11.0794,16,4,0.265808,0.0739414,0.66025
24,24.4934,24,0,40,25,1,0.54266,9.72464,106,10.7971,16,4,0.257074,0.0715118,0.671414
25,29.3752,25,0,40,25,1,0.588394,9.61333,106,10.96,16,4,0.248896,0.0692368,0.681867
26,33.1137,26,0,40,25,1,0.629555,9.89474,106,11.1184,17,4,0.222466,0.0687607,0.708773
27,30.1702,27,0,40,25,1,0.629555,11.6154,106,11.3692,17,4,0.21617,0.0668149,0.717015
28,26.387,28,0,40,25,1,0.629555,12.2188,106,11.0625,17,4,0.210221,0.0649761,0.724802
29,27.5865,29,0,40,25,1,0.566599,12.4531,106,11.4375,17,4,0.205893,0.0572745,0.736832
30,26.7562,30,0,40,25,1,0.509939,13.9831,106,11.5593,17,4,0.200614,0.0558059,0.74358
31,23.316,31,0,40,25,1,0.509939,13.0597,106,11.5522,17,4,0.195598,0.0544107,0.749991
32,27.7401,32,0,40,25,1,0.458945,12.6757,106,11.6351,17,4,0.190827,0.0530835,0.756089
33,32.9448,33,0,40,25,1,0.458945,12.8961,106,11.6104,17,4,0.186284,0.0518196,0.761897
34,32.7595,34,0,40,25,1,0.513051,13.4211,106,11.6447,18,4,0.181951,0.0506144,0.767434
35,31.2787,35,0,40,25,1,0.461746,15.0882,106,11.4118,17,4,0.180934,0.0559238,0.763142
36,26.8091,36,0,40,25,1,0.415571,16.0317,106,11.5238,17,4,0.176747,0.0546298,0.768623
37,25.8835,37,0,40,25,1,0.415571,17.6667,106,11.4444,16,4,0.17275,0.0533944,0.773855
38,23.3631,38,0,40,25,1,0.374014,18.0364,106,11.2545,16,4,0.171731,0.0589772,0.769291
